team,seed,region,r64_ownership,r32_ownership,s16_ownership,e8_ownership,f4_ownership,champion_ownership,source
Auburn,1,Midwest,0.98,0.9,0.78,0.65,0.52,0.11,Yahoo 11% champ
Duke,1,South,0.99,0.94,0.85,0.75,0.67,0.25,ESPN 25% champ
Florida,1,West,0.98,0.92,0.8,0.7,0.59,0.21,ESPN 21% champ
Houston,1,East,0.98,0.9,0.75,0.62,0.46,0.09,Yahoo ~9% champ
Alabama,2,South,0.93,0.8,0.58,0.4,0.22,0.035,estimated
Michigan St,2,Midwest,0.93,0.78,0.55,0.38,0.25,0.03,ESPN analysts 35% picked MSU
St John's,2,West,0.92,0.75,0.5,0.32,0.18,0.02,estimated
Tennessee,2,East,0.95,0.82,0.6,0.42,0.28,0.04,ESPN 28% F4
Iowa St,3,Midwest,0.88,0.68,0.45,0.28,0.15,0.015,estimated (seed verified: 3)
Kentucky,3,East,0.87,0.55,0.25,0.25,0.06,0.01,blue blood brand bump
Texas Tech,3,West,0.87,0.65,0.42,0.25,0.12,0.01,estimated from seed baseline
Wisconsin,3,South,0.87,0.65,0.42,0.25,0.12,0.01,estimated from seed + conference tourney fatigue (seed verified: 3)
Arizona,4,South,0.8,0.52,0.3,0.18,0.09,0.015,ESPN BPI
Maryland,4,West,0.78,0.5,0.28,0.15,0.06,0.005,estimated (seed verified: 4)
Purdue,4,East,0.82,0.55,0.3,0.16,0.07,0.005,estimated — public down after last year (seed verified: 4)
Texas A&M,4,Midwest,0.82,0.55,0.32,0.18,0.08,0.005,estimated (seed verified: 4)
Clemson,5,East,0.66,0.36,0.17,0.08,0.03,0.001,estimated (seed verified: 5)
Memphis,5,West,0.67,0.37,0.17,0.08,0.03,0.002,estimated from seed baseline
Michigan,5,Midwest,0.68,0.38,0.18,0.08,0.04,0.002,estimated (seed verified: 5)
Oregon,5,South,0.65,0.35,0.16,0.07,0.03,0.001,estimated (seed verified: 5)
BYU,6,South,0.6,0.28,0.12,0.05,0.02,0.001,estimated (seed verified: 6)
Illinois,6,East,0.63,0.32,0.15,0.06,0.02,0.001,estimated (seed verified: 6)
Mississippi,6,Midwest,0.62,0.3,0.14,0.06,0.02,0.001,estimated (seed verified: 6)
Missouri,6,West,0.62,0.3,0.13,0.06,0.02,0.001,estimated from seed baseline
Kansas,7,West,0.57,0.27,0.11,0.05,0.02,0.003,blue blood 7-seed
Marquette,7,Midwest,0.57,0.27,0.11,0.05,0.03,0.005,estimated as 7-seed
St Mary's CA,7,South,0.55,0.25,0.1,0.04,0.015,0.001,estimated (seed verified: 7)
UCLA,7,East,0.57,0.27,0.11,0.05,0.02,0.002,estimated 7-seed
Connecticut,8,West,0.48,0.2,0.08,0.03,0.025,0.005,2x defending champ narrative
Gonzaga,8,East,0.52,0.25,0.12,0.06,0.03,0.005,KenPom #9 despite 8-seed
Louisville,8,Midwest,0.5,0.22,0.08,0.03,0.01,0.001,estimated (seed verified: 8)
Mississippi St,8,South,0.48,0.18,0.06,0.02,0.008,0.001,estimated (seed verified: 8)
Baylor,9,South,0.52,0.2,0.07,0.02,0.008,0.001,estimated (seed verified: 9)
Creighton,9,Midwest,0.5,0.18,0.06,0.02,0.008,0.001,estimated (seed verified: 9)
Georgia,9,East,0.48,0.16,0.05,0.02,0.006,0.001,estimated (seed verified: 9)
Oklahoma,9,West,0.5,0.18,0.06,0.02,0.008,0.001,estimated from seed baseline
Arkansas,10,West,0.35,0.13,0.04,0.015,0.005,0.001,estimated from seed baseline
New Mexico,10,Midwest,0.32,0.1,0.03,0.01,0.004,0.001,estimated (seed verified: 10)
Utah St,10,East,0.35,0.13,0.04,0.015,0.005,0.001,estimated from seed baseline
Vanderbilt,10,South,0.38,0.14,0.05,0.02,0.005,0.001,estimated (seed verified: 10)
Drake,11,West,0.355,0.12,0.035,0.0125,0.004,0.001,"blended (was 9-seed, now 11-seed)"
North Carolina,11,Midwest,0.35,0.12,0.04,0.015,0.005,0.001,last team in — 11 seed
San Diego St,11,Midwest,0.3,0.1,0.03,0.01,0.003,0.001,estimated from seed baseline
Texas,11,East,0.3,0.1,0.03,0.01,0.003,0.001,estimated from seed baseline
VCU,11,South,0.3,0.1,0.03,0.01,0.003,0.001,estimated (seed verified: 11)
Xavier,11,East,0.3,0.1,0.03,0.01,0.003,0.001,estimated from seed baseline
Colorado St,12,West,0.34,0.115,0.035,0.0125,0.004,0.0008,"blended (was 10-seed, now 12-seed)"
Liberty,12,South,0.32,0.1,0.03,0.008,0.002,0.0005,classic 12-over-5 upset pick (seed verified: 12)
McNeese St,12,East,0.28,0.08,0.02,0.006,0.002,0.0005,estimated (seed verified: 12)
UC San Diego,12,Midwest,0.35,0.12,0.04,0.01,0.003,0.001,15-game win streak — sleeper buzz (seed verified: 12)
Akron,13,South,0.12,0.04,0.033,0.008,0.002,0.0005,ESPN BPI 3.3% S16 vs 3.0% public (seed verified: 13)
Grand Canyon,13,West,0.12,0.04,0.01,0.003,0.001,0.0002,estimated from seed baseline
High Point,13,East,0.1,0.03,0.008,0.002,0.001,0.0001,estimated (seed verified: 13)
Yale,13,Midwest,0.15,0.05,0.015,0.004,0.001,0.0002,estimated (seed verified: 13)
Lipscomb,14,Midwest,0.06,0.02,0.005,0.001,0.0005,0.0001,estimated (seed verified: 14)
Montana,14,South,0.08,0.02,0.005,0.001,0.0005,0.0001,estimated (seed verified: 14)
Troy,14,East,0.04,0.01,0.003,0.001,0.0003,0.0001,estimated (seed verified: 14)
UNC Wilmington,14,West,0.07,0.02,0.005,0.001,0.0005,0.0001,estimated from seed baseline
Bryant,15,Midwest,0.04,0.01,0.003,0.001,0.0003,0.0001,estimated from seed baseline
NE Omaha,15,West,0.04,0.01,0.003,0.001,0.0003,0.0001,estimated from seed baseline
Robert Morris,15,South,0.04,0.01,0.003,0.001,0.0003,0.0001,estimated (seed verified: 15)
Wofford,15,East,0.04,0.01,0.003,0.001,0.0003,0.0001,estimated from seed baseline
Alabama St,16,Midwest,0.02,0.005,0.001,0.0003,0.0001,5e-05,First Four winner (seed verified: 16)
American Univ,16,South,0.02,0.005,0.001,0.0003,0.0001,5e-05,estimated from seed baseline
Mt St Mary's,16,South,0.02,0.005,0.001,0.0003,0.0001,5e-05,First Four winner (seed verified: 16)
Norfolk St,16,West,0.02,0.005,0.001,0.0003,0.0001,5e-05,estimated (seed verified: 16)
SIUE,16,East,0.02,0.005,0.001,0.0003,0.0001,5e-05,estimated (seed verified: 16)
St Francis PA,16,Midwest,0.02,0.005,0.001,0.0003,0.0001,5e-05,estimated from seed baseline
