round,round_key,region,game_id,team,seed,raw_prob,normalized_prob
64,R64,East,G1,Duke,1,0.98210000,0.98653943
64,R64,East,G1,Siena,16,0.01340000,0.01346057
64,R64,East,G2,Ohio State,8,0.59530000,0.60819371
64,R64,East,G2,TCU,9,0.38350000,0.39180629
64,R64,East,G3,St John's,5,0.87600000,0.89033438
64,R64,East,G3,Northern Iowa,12,0.10790000,0.10966562
64,R64,East,G4,Kansas,4,0.94160000,0.95584205
64,R64,East,G4,Cal Baptist,13,0.04350000,0.04415795
64,R64,East,G5,Louisville,6,0.64540000,0.66453871
64,R64,East,G5,South Florida,11,0.32580000,0.33546129
64,R64,East,G6,Michigan State,3,0.94580000,0.96000812
64,R64,East,G6,N Dakota St,14,0.03940000,0.03999188
64,R64,East,G7,UCLA,7,0.67250000,0.68783881
64,R64,East,G7,UCF,10,0.30520000,0.31216119
64,R64,East,G8,UConn,2,0.96150000,0.97317814
64,R64,East,G8,Furman,15,0.02650000,0.02682186
64,R64,West,G1,Arizona,1,0.94820000,0.98360996
64,R64,West,G1,LIU Brooklyn,16,0.01580000,0.01639004
64,R64,West,G2,Villanova,8,0.54460000,0.57296160
64,R64,West,G2,Utah State,9,0.40590000,0.42703840
64,R64,West,G3,Wisconsin,5,0.80700000,0.84555742
64,R64,West,G3,High Point,12,0.14740000,0.15444258
64,R64,West,G4,Arkansas,4,0.88690000,0.92742863
64,R64,West,G4,Hawaii,13,0.06940000,0.07257137
64,R64,West,G5,BYU,6,0.78900000,0.83775749
64,R64,West,G5,NC State,11,0.15280000,0.16224251
64,R64,West,G6,Gonzaga,3,0.91650000,0.95738013
64,R64,West,G6,Kennesaw,14,0.04080000,0.04261987
64,R64,West,G7,Miami,7,0.60840000,0.64055591
64,R64,West,G7,Missouri,10,0.34140000,0.35944409
64,R64,West,G8,Purdue,2,0.93620000,0.97480217
64,R64,West,G8,Queens NC,15,0.02420000,0.02519783
64,R64,South,G1,Florida,1,0.95360000,0.98573496
64,R64,South,G1,Lehigh,16,0.01380000,0.01426504
64,R64,South,G2,Clemson,8,0.46690000,0.48823591
64,R64,South,G2,Iowa,9,0.48940000,0.51176409
64,R64,South,G3,Vanderbilt,5,0.80870000,0.84274698
64,R64,South,G3,McNeese,12,0.15090000,0.15725302
64,R64,South,G4,Nebraska,4,0.84730000,0.88297207
64,R64,South,G4,Troy,13,0.11230000,0.11702793
64,R64,South,G5,North Carolina,6,0.69270000,0.72344648
64,R64,South,G5,VCU,11,0.26480000,0.27655352
64,R64,South,G6,Illinois,3,0.90700000,0.94223977
64,R64,South,G6,Penn,14,0.05560000,0.05776023
64,R64,South,G7,Saint Mary's,7,0.50990000,0.53375903
64,R64,South,G7,Texas A&M,10,0.44540000,0.46624097
64,R64,South,G8,Houston,2,0.93670000,0.96906683
64,R64,South,G8,Idaho,15,0.02990000,0.03093317
64,R64,Midwest,G1,Michigan,1,0.94220000,0.98443214
64,R64,Midwest,G1,Howard,16,0.01490000,0.01556786
64,R64,Midwest,G2,Georgia,8,0.53770000,0.56995972
64,R64,Midwest,G2,St Louis,9,0.40570000,0.43004028
64,R64,Midwest,G3,Texas Tech,5,0.73240000,0.77437090
64,R64,Midwest,G3,Akron,12,0.21340000,0.22562910
64,R64,Midwest,G4,Alabama,4,0.87860000,0.92659776
64,R64,Midwest,G4,Hofstra,13,0.06960000,0.07340224
64,R64,Midwest,G5,Tennessee,6,0.82590000,0.87526494
64,R64,Midwest,G5,SMU,11,0.11770000,0.12473506
64,R64,Midwest,G6,Virginia,3,0.90140000,0.94964180
64,R64,Midwest,G6,Wright State,14,0.04780000,0.05035820
64,R64,Midwest,G7,Kentucky,7,0.65630000,0.69471790
64,R64,Midwest,G7,Santa Clara,10,0.28840000,0.30528210
64,R64,Midwest,G8,Iowa State,2,0.91250000,0.95730172
64,R64,Midwest,G8,Tennessee State,15,0.04070000,0.04269828
32,R32,East,G1,Duke,1,0.93590000,0.94525805
32,R32,East,G1,Siena,16,0.00620000,0.00626199
32,R32,East,G1,Ohio State,8,0.03210000,0.03242097
32,R32,East,G1,TCU,9,0.01590000,0.01605898
32,R32,East,G2,St John's,5,0.51620000,0.52305198
32,R32,East,G2,Northern Iowa,12,0.02140000,0.02168406
32,R32,East,G2,Kansas,4,0.43800000,0.44381396
32,R32,East,G2,Cal Baptist,13,0.01130000,0.01144999
32,R32,East,G3,Louisville,6,0.18240000,0.18512128
32,R32,East,G3,South Florida,11,0.05880000,0.05967726
32,R32,East,G3,Michigan State,3,0.73100000,0.74190602
32,R32,East,G3,N Dakota St,14,0.01310000,0.01329544
32,R32,East,G4,UCLA,7,0.17410000,0.17642886
32,R32,East,G4,UCF,10,0.02950000,0.02989461
32,R32,East,G4,UConn,2,0.77400000,0.78435347
32,R32,East,G4,Furman,15,0.00920000,0.00932306
32,R32,West,G1,Arizona,1,0.89380000,0.92516303
32,R32,West,G1,LIU Brooklyn,16,0.00720000,0.00745264
32,R32,West,G1,Villanova,8,0.04780000,0.04947728
32,R32,West,G1,Utah State,9,0.01730000,0.01790705
32,R32,West,G2,Wisconsin,5,0.38020000,0.39460301
32,R32,West,G2,High Point,12,0.03090000,0.03207058
32,R32,West,G2,Arkansas,4,0.53070000,0.55080436
32,R32,West,G2,Hawaii,13,0.02170000,0.02252206
32,R32,West,G3,BYU,6,0.27540000,0.28696468
32,R32,West,G3,NC State,11,0.02710000,0.02823799
32,R32,West,G3,Gonzaga,3,0.64190000,0.66885485
32,R32,West,G3,Kennesaw,14,0.01530000,0.01594248
32,R32,West,G4,Miami,7,0.14810000,0.15363071
32,R32,West,G4,Missouri,10,0.04100000,0.04253112
32,R32,West,G4,Purdue,2,0.76500000,0.79356846
32,R32,West,G4,Queens NC,15,0.00990000,0.01026971
32,R32,South,G1,Florida,1,0.88130000,0.90902527
32,R32,South,G1,Lehigh,16,0.00610000,0.00629190
32,R32,South,G1,Clemson,8,0.03350000,0.03455389
32,R32,South,G1,Iowa,9,0.04860000,0.05012893
32,R32,South,G2,Vanderbilt,5,0.53240000,0.54994319
32,R32,South,G2,McNeese,12,0.04940000,0.05102779
32,R32,South,G2,Nebraska,4,0.36520000,0.37723376
32,R32,South,G2,Troy,13,0.02110000,0.02179527
32,R32,South,G3,North Carolina,6,0.29200000,0.30146603
32,R32,South,G3,VCU,11,0.04860000,0.05017551
32,R32,South,G3,Illinois,3,0.60960000,0.62936197
32,R32,South,G3,Penn,14,0.01840000,0.01899649
32,R32,South,G4,Saint Mary's,7,0.08480000,0.08741367
32,R32,South,G4,Texas A&M,10,0.06050000,0.06236470
32,R32,South,G4,Houston,2,0.81460000,0.83970725
32,R32,South,G4,Idaho,15,0.01020000,0.01051438
32,R32,Midwest,G1,Michigan,1,0.89600000,0.93284748
32,R32,Midwest,G1,Howard,16,0.00690000,0.00718376
32,R32,Midwest,G1,Georgia,8,0.03570000,0.03716814
32,R32,Midwest,G1,St Louis,9,0.02190000,0.02280062
32,R32,Midwest,G2,Texas Tech,5,0.33740000,0.35248642
32,R32,Midwest,G2,Akron,12,0.04970000,0.05192227
32,R32,Midwest,G2,Alabama,4,0.54950000,0.57407020
32,R32,Midwest,G2,Hofstra,13,0.02060000,0.02152110
32,R32,Midwest,G3,Tennessee,6,0.31550000,0.32974498
32,R32,Midwest,G3,SMU,11,0.02790000,0.02915970
32,R32,Midwest,G3,Virginia,3,0.59960000,0.62667224
32,R32,Midwest,G3,Wright State,14,0.01380000,0.01442308
32,R32,Midwest,G4,Kentucky,7,0.20830000,0.21718278
32,R32,Midwest,G4,Santa Clara,10,0.04020000,0.04191429
32,R32,Midwest,G4,Iowa State,2,0.69430000,0.72390783
32,R32,Midwest,G4,Tennessee State,15,0.01630000,0.01699510
16,S16,East,G1,Duke,1,0.78770000,0.79421254
16,S16,East,G1,Siena,16,0.00330000,0.00332728
16,S16,East,G1,Ohio State,8,0.01720000,0.01734221
16,S16,East,G1,TCU,9,0.00620000,0.00625126
16,S16,East,G1,St John's,5,0.09060000,0.09134906
16,S16,East,G1,Northern Iowa,12,0.00420000,0.00423472
16,S16,East,G1,Kansas,4,0.07930000,0.07995564
16,S16,East,G1,Cal Baptist,13,0.00330000,0.00332728
16,S16,East,G2,Louisville,6,0.07240000,0.07316827
16,S16,East,G2,South Florida,11,0.01160000,0.01172309
16,S16,East,G2,Michigan State,3,0.34570000,0.34936837
16,S16,East,G2,N Dakota St,14,0.00370000,0.00373926
16,S16,East,G2,UCLA,7,0.06090000,0.06154624
16,S16,East,G2,UCF,10,0.00800000,0.00808489
16,S16,East,G2,UConn,2,0.48290000,0.48802425
16,S16,East,G2,Furman,15,0.00430000,0.00434563
16,S16,West,G1,Arizona,1,0.74480000,0.76838956
16,S16,West,G1,LIU Brooklyn,16,0.00390000,0.00402352
16,S16,West,G1,Villanova,8,0.02560000,0.02641081
16,S16,West,G1,Utah State,9,0.00670000,0.00691220
16,S16,West,G1,Wisconsin,5,0.06870000,0.07087589
16,S16,West,G1,High Point,12,0.00550000,0.00567420
16,S16,West,G1,Arkansas,4,0.10860000,0.11203962
16,S16,West,G1,Hawaii,13,0.00550000,0.00567420
16,S16,West,G2,BYU,6,0.11440000,0.11836524
16,S16,West,G2,NC State,11,0.00620000,0.00641490
16,S16,West,G2,Gonzaga,3,0.30430000,0.31484739
16,S16,West,G2,Kennesaw,14,0.00350000,0.00362131
16,S16,West,G2,Miami,7,0.04750000,0.04914640
16,S16,West,G2,Missouri,10,0.01100000,0.01138127
16,S16,West,G2,Purdue,2,0.47500000,0.49146405
16,S16,West,G2,Queens NC,15,0.00460000,0.00475944
16,S16,South,G1,Florida,1,0.74680000,0.76736539
16,S16,South,G1,Lehigh,16,0.00330000,0.00339088
16,S16,South,G1,Clemson,8,0.01580000,0.01623510
16,S16,South,G1,Iowa,9,0.02800000,0.02877106
16,S16,South,G1,Vanderbilt,5,0.10570000,0.10861077
16,S16,South,G1,McNeese,12,0.00630000,0.00647349
16,S16,South,G1,Nebraska,4,0.06310000,0.06483765
16,S16,South,G1,Troy,13,0.00420000,0.00431566
16,S16,South,G2,North Carolina,6,0.12720000,0.13064914
16,S16,South,G2,VCU,11,0.00800000,0.00821693
16,S16,South,G2,Illinois,3,0.20390000,0.20942892
